NPSCompany,NPSIndustry,NPSScore,FortuneYear,FortuneRank,FortuneCompany,FortuneRevenue($ millions),FortuneProfit($ millions)
,,,2017,165,PNC Financial Services,18035,5338
,,,2017,166,CenturyLink,17656,1389
,,,2017,167,NextEra Energy,17195,5378
,,,2017,168,PG&E Corp.,17135,1646
,,,2017,169,Synnex,17045.7,301.2
,,,2017,170,WellCare Health Plans,17007.2,373.7
,,,2017,171,Performance Food Group,16761.8,96.3
,,,2017,172,Sears Holdings,16702,-383
,,,2017,173,Synchrony Financial,16695,1935
,,,2017,174,CarMax,16637.1,627
,,,2017,175,Bank of New York Mellon,16621,4090
,,,2017,176,Freeport-McMoRan,16416,1817
,,,2017,177,Genuine Parts,16308.8,616.8
,,,2017,178,Emerson Electric,16301,1518
,,,2017,179,DaVita,16038.2,663.6
,,,2017,180,Supervalu,16009,650
,,,2017,181,Gap,15855,848
,,,2017,182,General Mills,15619.8,1657.5
,,,2017,183,Nordstrom,15478,437
,,,2017,184,Colgate-Palmolive,15454,2024
,,,2017,185,American Electric Power,15424.9,1912.6
,,,2017,186,XPO Logistics,15380.8,340.2
,,,2017,187,Goodyear Tire & Rubber,15377,346
,,,2017,188,Omnicom Group,15273.6,1088.4
,,,2017,189,CDW,15191.5,523
,,,2017,190,Sherwin-Williams,14983.8,1772.3
,,,2017,191,PPG Industries,14967,1591
,,,2017,192,Texas Instruments,14961,3682
,,,2017,193,C.H. Robinson Worldwide,14869.4,504.9
,,,2017,194,WestRock,14859.7,708.2
,,,2017,195,Cognizant Technology Solutions,14810,1504
,,,2017,196,Newell Brands,14742.2,2748.8
,,,2017,197,CBS,14710,357
,,,2017,198,Envision Healthcare,14700.5,-228
,,,2017,199,Monsanto,14640,2260
,,,2017,200,Aramark,14604.4,373.9
,,,2017,201,Applied Materials,14537,3434
,,,2017,202,Waste Management,14485,1949
,,,2017,203,DISH Network,14391.4,2098.7
,,,2017,204,Illinois Tool Works,14314,1687
,,,2017,205,Lincoln National,14257,2079
,,,2017,206,HollyFrontier,14251.3,805.4
,,,2017,207,CBRE Group,14209.6,691.5
,,,2017,208,Textron,14198,307
,,,2017,209,Ross Stores,14134.7,1362.8
,,,2017,210,Principal Financial,14093.2,2310.4
,,,2017,211,D.R. Horton,14091,1038.4
,,,2017,212,Marsh & McLennan,14024,1492
,,,2017,213,Devon Energy,13949,898
,,,2017,214,AES,13850,-1161
,,,2017,215,Ecolab,13838.3,1508.4
,,,2017,216,Land Oâ€™Lakes,13740.4,314.2
,,,2017,217,Loews,13735,1164
,,,2017,218,Kinder Morgan,13705,183
,,,2017,219,FirstEnergy,13627,-1724
,,,2017,220,Occidental Petroleum,13274,1311
,,,2017,221,Viacom,13263,1874
,,,2017,222,PayPal Holdings,13094,1795
,,,2017,223,NGL Energy Partners,13022.2,137
,,,2017,224,Celgene,13003,2940
,,,2017,225,Arconic,12960,-74
,,,2017,226,Kellogg,12923,1269
,,,2017,227,Las Vegas Sands,12882,2806
,,,2017,228,Stanley Black & Decker,12747.2,1226
,,,2017,229,Booking Holdings,12681.1,2340.8
,,,2017,230,Lennar,12646.4,810.5
,,,2017,231,L Brands,12632.4,983
,,,2017,232,DTE Energy,12607,1134
,,,2017,233,Dominion Energy,12586,2999
,,,2017,234,Reinsurance Group of America,12515.8,1822.2
,,,2017,235,J.C. Penney,12506,-116
,,,2017,236,Mastercard,12497,3915
,,,2017,237,BlackRock,12491,4970
,,,2017,238,Henry Schein,12461.5,406.3
,,,2017,239,Guardian Life Ins. Co. of America,12454.5,455.3
,,,2017,240,Stryker,12444,1020
,,,2017,241,Jefferies Financial Group,12407.9,171.7
,,,2017,242,VF,12399.6,614.9
,,,2017,243,ADP,12379.8,1733.4
,,,2017,244,Edison International,12320,565
,,,2017,245,Biogen,12273.9,2539.1
,,,2017,246,United States Steel,12250,387
,,,2017,247,Core-Mark Holding,12225,33.5
,,,2017,248,Bed Bath & Beyond,12215.8,685.1
,,,2017,249,Oneok,12173.9,387.8
,,,2017,250,BB&T Corp.,12156,2394
,,,2017,251,Becton Dickinson,12093,1100
,,,2017,252,Ameriprise Financial,12075,1480
,,,2017,253,Farmers Insurance Exchange,12071.8,-65.4
,,,2017,254,First Data,12052,1465
,,,2017,255,Consolidated Edison,12033,1525
,,,2017,256,Parker-Hannifin,12029.3,983.4
,,,2017,257,Anadarko Petroleum,11908,-456
,,,2017,258,Estee Lauder,11824,1249
,,,2017,259,State Street Corp.,11774,2177
,,,2017,260,Tesla,11758.8,-1961.4
,,,2017,261,Netflix,11692.7,558.9
,,,2017,262,Alcoa,11652,217
,,,2017,263,Discover Financial Services,11545,2099
,,,2017,264,Praxair,11437,1247
,,,2017,265,CSX,11408,5471
,,,2017,266,Xcel Energy,11404,1148
,,,2017,267,Unum Group,11286.8,994.2
,,,2017,268,Universal Health Services,11278.9,752.3
,,,2017,269,NRG Energy,11275,-2153
,,,2017,270,EOG Resources,11208.3,2582.6
,,,2017,271,Sempra Energy,11207,256
,,,2017,272,Toys â€œRâ€ Us,11146,-612
,,,2017,273,Group 1 Automotive,11123.7,213.4
,,,2017,274,Entergy,11074.5,411.6
,,,2017,275,Molson Coors Brewing,11002.8,1414.2
,,,2017,276,L3 Technologies,11002,677
,,,2017,277,Ball,10983,374
,,,2017,278,AutoZone,10888.7,1280.9
,,,2017,279,Murphy USA,10853.4,245.3
,,,2017,280,MGM Resorts International,10773.9,1960.3
,,,2017,281,Office Depot,10752,181
,,,2017,282,Huntsman,10592,636
,,,2017,283,Baxter International,10561,717
,,,2017,284,Norfolk Southern,10551,5404
,,,2017,285,salesforce.com,10480,127.5
,,,2017,286,Laboratory Corp. of America,10441.4,1268.2
,,,2017,287,W.W. Grainger,10424.9,585.7
,,,2017,288,Qurate Retail,10404,2441
,,,2017,289,Autoliv,10382.6,427.1
,,,2017,290,Live Nation Entertainment,10337.4,-6
,,,2017,291,Xerox,10265,195
,,,2017,292,Leidos Holdings,10170,366
,,,2017,293,Corning,10116,-497
,,,2017,294,Lithia Motors,10086.5,245.2
,,,2017,295,Expedia Group,10059.8,378
,,,2017,296,Republic Services,10041.5,1278.4
,,,2017,297,Jacobs Engineering Group,10022.8,293.7
,,,2017,298,Sonic Automotive,9867.2,93
,,,2017,299,Ally Financial,9866,929
,,,2017,300,LKQ,9848,533.7
,,,2017,301,BorgWarner,9799.3,439.9
,,,2017,302,Fidelity National Financial,9769,771
,,,2017,303,SunTrust Banks,9741,2273
,,,2017,304,IQVIA Holdings,9739,1309
,,,2017,305,Reliance Steel & Aluminum,9721,613.4
,,,2017,306,Nvidia,9714,3047
,,,2017,307,Voya Financial,9660,-2992
,,,2017,308,CenterPoint Energy,9614,1792
,,,2017,309,eBay,9567,-1016
,,,2017,310,Eastman Chemical,9549,1384
,,,2017,311,American Family Insurance Group,9545.4,155.6
,,,2017,312,Steel Dynamics,9538.8,812.7
,,,2017,313,Pacific Life,9510,1365
,,,2017,314,Chesapeake Energy,9496,949
,,,2017,315,Mohawk Industries,9491.3,971.6
,,,2017,316,Quanta Services,9466.5,315
,,,2017,317,Advance Auto Parts,9373.8,475.5
,,,2017,318,Owens & Minor,9318.3,72.8
,,,2017,319,United Natural Foods,9274.5,130.2
,,,2017,320,Tenneco,9274,207
,,,2017,321,Conagra Brands,9234.8,639.3
,,,2017,322,GameStop,9224.6,34.7
,,,2017,323,Hormel Foods,9167.5,846.7
,,,2017,324,Hilton Worldwide Holdings,9140,1259
,,,2017,325,Frontier Communications,9128,-1804
,,,2017,326,Fidelity National Information Services,9123,1319
,,,2017,327,Public Service Enterprise Group,9084,1574
,,,2017,328,Boston Scientific,9048,104
,,,2017,329,Oâ€™Reilly Automotive,8977.7,1133.8
,,,2017,330,Charles Schwab,8960,2354
,,,2017,331,Global Partners,8920.6,58.8
,,,2017,332,PVH,8914.8,537.8
,,,2017,333,Avis Budget Group,8848,361
,,,2017,334,Targa Resources,8814.9,54
,,,2017,335,Hertz Global Holdings,8803,327
,,,2017,336,Calpine,8752,-339
,,,2017,337,Mutual of Omaha Insurance,8731.9,862.6
,,,2017,338,Crown Holdings,8698,323
,,,2017,339,Peter Kiewit Sonsâ€™,8678,371
,,,2017,340,Dickâ€™s Sporting Goods,8590.5,323.4
,,,2017,341,PulteGroup,8573.3,447.2
,,,2017,342,Navistar International,8570,30
,,,2017,343,Thrivent Financial for Lutherans,8527.9,558.4
,,,2017,344,DCP Midstream,8462,229
,,,2017,345,Air Products & Chemicals,8442.4,3000.4
,,,2017,346,Veritiv,8364.7,-13.3
,,,2017,347,AGCO,8306.5,186.4
,,,2017,348,Genworth Financial,8295,817
,,,2017,349,Univar,8253.7,119.8
,,,2017,350,News Corp.,8139,-738
,,,2017,351,SpartanNash,8128.1,-52.8
,,,2017,352,Westlake Chemical,8041,1304
,,,2017,353,Williams,8031,2174
,,,2017,354,Lam Research,8013.6,1697.8
,,,2017,355,Alaska Air Group,7933,1034
,,,2017,356,Jones Lang LaSalle,7932.4,254.2
,,,2017,357,Anixter International,7927.4,109
,,,2017,358,Campbell Soup,7890,887
,,,2017,359,Interpublic Group,7882.4,579
,,,2017,360,Dover,7830.4,811.7
,,,2017,361,Zimmer Biomet Holdings,7824.1,1813.8
,,,2017,362,Dean Foods,7795,61.6
,,,2017,363,Foot Locker,7782,284
,,,2017,364,Eversource Energy,7752,988
,,,2017,365,Alliance Data Systems,7719.4,788.7
,,,2017,366,Fifth Third Bancorp,7713,2194
,,,2017,367,Quest Diagnostics,7709,772
,,,2017,368,EMCOR Group,7687.9,227.2
,,,2017,369,W.R. Berkley,7684.8,549.1
,,,2017,370,WESCO International,7679,163.5
,,,2017,371,Coty,7650.3,-422.2
,,,2017,372,WEC Energy Group,7648.5,1203.7
,,,2017,373,Masco,7644,533
,,,2017,374,DXC Technology,7607,-123
,,,2017,375,Auto-Owners Insurance,7603.7,645.7
,,,2017,376,Jones Financial (Edward Jones),7597,872
,,,2017,377,Liberty Media,7594,1354
,,,2017,378,Erie Insurance Group,7535.1,857.5
,,,2017,379,Hershey,7515.4,783
,,,2017,380,PPL,7447,1128
,,,2017,381,Huntington Ingalls Industries,7441,479
,,,2017,382,Mosaic,7409.4,-107.2
,,,2017,383,J.M. Smucker,7392.3,592.3
,,,2017,384,Delek US Holdings,7349.5,288.8
,,,2017,385,Newmont Mining,7348,-98
,,,2017,386,Constellation Brands,7331.5,1535.1
,,,2017,387,Ryder System,7329.6,790.6
,,,2017,388,National Oilwell Varco,7304,-237
,,,2017,389,Adobe Systems,7301.5,1694
,,,2017,390,LifePoint Health,7263.1,102.4
,,,2017,391,Tractor Supply,7256.4,422.6
,,,2017,392,Thor Industries,7247,374.3
,,,2017,393,Dana,7209,111
,,,2017,394,Weyerhaeuser,7196,582
,,,2017,395,J.B. Hunt Transport Services,7189.6,686.3
,,,2017,396,Darden Restaurants,7170.2,479.1
,,,2017,397,Yum China Holdings,7144,403
,,,2017,398,Blackstone Group,7119.1,1470.8
,,,2017,399,Berry Global Group,7095,340
,,,2017,400,Builders FirstSource,7034.2,38.8
,,,2017,401,Activision Blizzard,7017,273
,,,2017,402,JetBlue Airways,7015,1147
,,,2017,403,Amphenol,7011.3,650.5
,,,2017,404,A-Mark Precious Metals,6989.6,7.1
,,,2017,405,Spirit AeroSystems Holdings,6983,354.9
,,,2017,406,R.R. Donnelley & Sons,6939.6,-34.4
,,,2017,407,Harris,6939,553
,,,2017,408,Expeditors Intl. of Washington,6920.9,489.3
,,,2017,409,Discovery,6873,-337
,,,2017,410,Owens-Illinois,6869,180
,,,2017,411,Sanmina,6868.6,138.8
,,,2017,412,KeyCorp,6868,1296
,,,2017,413,American Financial Group,6865,475
,,,2017,414,Oshkosh,6829.6,285.6
,,,2017,415,Rockwell Collins,6822,705
,,,2017,416,Kindred Healthcare,6767.6,-698.4
,,,2017,417,Insight Enterprises,6703.6,90.7
,,,2017,418,Dr Pepper Snapple Group,6690,1076
,,,2017,419,American Tower,6663.9,1238.9
,,,2017,420,Fortive,6656,1044.5
,,,2017,421,Ralph Lauren,6652.8,-99.3
,,,2017,422,Spectrum Brands Holdings,6650,106
,,,2017,423,Ascena Retail Group,6649.8,-1067.3
,,,2017,424,United Rentals,6641,1346
,,,2017,425,Caseyâ€™s General Stores,6640.6,177.5
,,,2017,426,Graybar Electric,6631.2,71.6
,,,2017,427,Avery Dennison,6613.8,281.8
,,,2017,428,MasTec,6607,347.2
,,,2017,429,CMS Energy,6583,460
,,,2017,430,HD Supply Holdings,6534,970
,,,2017,431,Raymond James Financial,6524.9,636.2
,,,2017,432,NCR,6516,232
,,,2017,433,Hanesbrands,6478.3,61.9
,,,2017,434,Asbury Automotive Group,6456.5,139.1
,,,2017,435,Citizens Financial Group,6454,1652
,,,2017,436,Packaging Corp. of America,6444.9,668.6
,,,2017,437,Alleghany,6424.7,90.1
,,,2017,438,Apache,6423,1304
,,,2017,439,Dillardâ€™s,6422.7,221.3
,,,2017,440,Assurant,6415,519.6
,,,2017,441,Franklin Resources,6392.2,1696.7
,,,2017,442,Owens Corning,6384,289
,,,2017,443,Motorola Solutions,6380,-155
,,,2017,444,NVR,6322.3,537.5
,,,2017,445,Rockwell Automation,6311.3,825.7
,,,2017,446,TreeHouse Foods,6307.1,-286.2
,,,2017,447,Wynn Resorts,6306.4,747.2
,,,2017,448,Olin,6268.4,549.5
,,,2017,449,American Axle & Manufacturing,6266,337.1
,,,2017,450,Old Republic International,6263.1,560.5
,,,2017,451,Chemours,6183,746
,,,2017,452,iHeartMedia,6178.2,-704.4
,,,2017,453,Ameren,6177,523
,,,2017,454,Arthur J. Gallagher,6159.6,463.1
,,,2017,455,Celanese,6140,843
,,,2017,456,Sealed Air,6130.6,814.9
,,,2017,457,UGI,6120.7,436.6
,,,2017,458,Realogy Holdings,6114,431
,,,2017,459,Burlington Stores,6110,384.9
,,,2017,460,Regions Financial,6093,1263
,,,2017,461,AK Steel Holding,6080.5,6.2
,,,2017,462,Securian Financial Group,6066.5,418.9
,,,2017,463,S&P Global,6063,1496
,,,2017,464,Markel,6061.7,395.3
,,,2017,465,TravelCenters of America,6051.6,9.3
,,,2017,466,Conduent,6022,181
,,,2017,467,M&T Bank Corp.,6018.9,1408.3
,,,2017,468,Clorox,5973,701
,,,2017,469,AmTrust Financial Services,5958.9,-348.9
,,,2017,470,KKR,5930,1018.3
,,,2017,471,Ulta Beauty,5884.5,555.2
,,,2017,472,Yum Brands,5878,1340
,,,2017,473,Regeneron Pharmaceuticals,5872.2,1198.5
,,,2017,474,Windstream Holdings,5852.9,-2116.6
,,,2017,475,Magellan Health,5838.6,110.2
,,,2017,476,Western & Southern Financial,5836.3,310.4
,,,2017,477,Intercontinental Exchange,5834,2514
,,,2017,478,Ingredion,5832,519
,,,2017,479,Wyndham Destinations,5821,871
,,,2017,480,Toll Brothers,5815.1,535.5
,,,2017,481,Seaboard,5809,247
,,,2017,482,Booz Allen Hamilton,5804.3,252.5
,,,2017,483,First American Financial,5772.4,423
,,,2017,484,Cincinnati Financial,5732.4,1045
,,,2017,485,Avon Products,5715.6,22
,,,2017,486,Northern Trust,5715.5,1199
,,,2017,487,Fiserv,5696,1246
,,,2017,488,Harley-Davidson,5647.2,521.8
,,,2017,489,Cheniere Energy,5601,-393
,,,2017,490,Patterson,5593.1,170.9
,,,2017,491,Peabody Energy,5578.8,
,,,2017,492,ON Semiconductor,5543.1,810.7
,,,2017,493,Simon Property Group,5538.6,1948
,,,2017,494,Western Union,5524.3,-557.1
,,,2017,495,NetApp,5519,509
,,,2017,496,Polaris Industries,5504.8,172.5
,,,2017,497,Pioneer Natural Resources,5455,833
,,,2017,498,ABM Industries,5453.6,3.8
,,,2017,499,Vistra Energy,5430,-254
,,,2017,500,Cintas,5428.9,480.7
,,,2018,1,Walmart,514405,6670
,,,2018,2,Exxon Mobil,290212,20840
,,,2018,3,Apple,265595,59531
,,,2018,4,Berkshire Hathaway,247837,4021
,,,2018,5,Amazon.com,232887,10073
,,,2018,6,UnitedHealth Group,226247,11986
,,,2018,7,McKesson,208357,67
,,,2018,8,CVS Health,194579,-594
,,,2018,9,AT&T,170756,19370
,,,2018,10,AmerisourceBergen,167939.6,1658.4
,,,2018,11,Chevron,166339,14824
,,,2018,12,Ford Motor,160338,3677
,,,2018,13,General Motors,147049,8014
,,,2018,14,Costco,141576,3134
,,,2018,15,Alphabet,136819,30736
,,,2018,16,Cardinal Health,136809,256
,,,2018,17,Walgreens,131537,5024
,,,2018,18,JP Morgan Chase,131412,32474
,,,2018,19,Verizon,130863,15528
,,,2018,20,Kroger,121162,3110
,,,2018,21,General Electric,120268,-22355
,,,2018,22,Fannie Mae,120101,15959
,,,2018,23,Phillips 66,114217,5595
,,,2018,24,Valero Energy,111407,3122
,,,2018,25,Bank of America,110584,28147
,,,2018,26,Microsoft,110360,16571
,,,2018,27,Home Depot,108203,11121
,,,2018,28,Boeing,101127,10460
,,,2018,29,Wells Fargo,101060,22393
,,,2018,30,Citigroup,97120,18045
,,,2018,31,Marathon Petroleum,97102,2780
,,,2018,32,Comcast,94507,11731
,,,2018,33,Anthem,92105,3750
,,,2018,34,Dell Technologies,90621,-2310
,,,2018,35,DuPont de Nemours,85977,3844
,,,2018,36,State Farm Insurance,81732.2,8788.4
,,,2018,37,Johnson & Johnson,81581,15297
,,,2018,38,IBM,79591,8728
,,,2018,39,Target,75356,2937
,,,2018,40,Freddie Mac,73598,9235
,,,2018,41,UPS,71861,4791
,,,2018,42,Lowe's,71309,2314
,,,2018,43,Intel,70848,21053
,,,2018,44,MetLife,67941,5123
,,,2018,45,Procter & Gamble,66832,9750
,,,2018,46,United Technologies,66501,5269
,,,2018,47,FedEx,65450,4572
,,,2018,48,PepsiCo,64661,12515
,,,2018,49,Archer Daniels Midland,64341,1810
,,,2018,50,Prudential Financial,62992,4074
,,,2018,51,Centene,60116,900
,,,2018,52,Albertsons,59924.6,46.3
,,,2018,53,Disney,59434,12598
,,,2018,54,Sysco,58727.3,1430.8
,,,2018,55,HP,58472,5327
,,,2018,56,Humana,56912,1683
,,,2018,57,Facebook,55838,22112
,,,2018,58,Caterpillar,54722,6147
,,,2018,59,Energy Transfer,54436,1694
,,,2018,60,Lockheed Martin,53762,5046
,,,2018,61,Pfizer,53647,11153
,,,2018,62,Goldman Sachs Group,52528,10459
,,,2018,63,Morgan Stanley,50193,8748
,,,2018,64,Cisco Systems,49330,110
,,,2018,65,Cigna,48650,2637
,,,2018,66,AIG,47389,-6
,,,2018,67,HCA Healthcare,46677,3787
,,,2018,68,American Airlines Group,44541,1412
,,,2018,69,Delta Air Lines,44438,3935
,,,2018,70,Charter Communications,43634,1230
,,,2018,71,New York Life Insurance,43425.3,880
,,,2018,72,American Express,43281,6921
,,,2018,73,Nationwide,43270,512.6
,,,2018,74,Best Buy,42879,1464
,,,2018,75,Liberty Mutual Insurance Group,42685,2160
,,,2018,76,Merck,42294,6220
,,,2018,77,Honeywell International,41802,6765
,,,2018,78,United Continental Holdings,41303,2129
,,,2018,79,TIAA,41052.1,1560.5
,,,2018,80,Tyson Foods,40052,3024
,,,2018,81,Oracle,39831,3825
,,,2018,82,Allstate,39815,2252
,,,2018,83,World Fuel Services,39750.3,127.7
,,,2018,84,Massachusetts Mutual Life Insurance,39267.2,397.9
,,,2018,85,TJX,38972.9,3059.8
,,,2018,86,ConocoPhillips,38727,6257
,,,2018,87,Deere,37357.7,2368.4
,,,2018,88,Tech Data,37239,340.6
,,,2018,89,Enterprise Products Partners,36534.2,4172.4
,,,2018,90,Nike,36397,1933
,,,2018,91,Publix Super Markets,36395.7,2381.2
,,,2018,92,General Dynamics,36193,3345
,,,2018,93,Exelon,35985,2010
,,,2018,94,Plains GP Holdings,34055,334
,,,2018,95,3M,32765,5349
,,,2018,96,AbbVie,32753,5687
,,,2018,97,CHS,32683.3,775.9
,,,2018,98,Capital One Financial,32377,6015
,,,2018,99,Progressive,31979,2615.3
,,,2018,100,Coca-Cola,31856,6434
,,,2018,101,USAA,31367.8,2291.9
,,,2018,102,HP,30852,1908
,,,2018,103,Abbott Laboratories,30578,2368
,,,2018,104,Fox,30400,4464
,,,2018,105,Micron Technology,30391,14135
,,,2018,106,Travelers,30282,2523
,,,2018,107,Rite Aid,30215.4,943.5
,,,2018,108,Northrop Grumman,30095,3229
,,,2018,109,Arrow Electronics,29676.8,716.2
,,,2018,110,Philip Morris International,29625,7911
,,,2018,111,Northwestern Mutual,29124,783
,,,2018,112,INTL FCStone,27622.7,55.5
,,,2018,113,PBF Energy,27186.1,128.3
,,,2018,114,Raytheon,27058,2909
,,,2018,115,Kraft Heinz,26259,-10229
,,,2018,116,Mondelez International,25938,3381
,,,2018,117,U.S. Bancorp,25775,7096
,,,2018,118,Macy's,25739,1108
,,,2018,119,Dollar General,25625,1589.5
,,,2018,120,Nucor,25067.3,2360.8
,,,2018,121,Starbucks,24719.5,4518.3
,,,2018,122,DXC Technology,24556,1751
,,,2018,123,Eli Lilly,24555.7,3232
,,,2018,124,Thermo Fisher Scientific,24358,2938
,,,2018,125,US Foods,24175,407
,,,2018,126,Duke Energy,24116,2666
,,,2018,127,Halliburton,23995,1656
,,,2018,128,Cummins,23771,2141
,,,2018,129,Amgen,23747,8394
,,,2018,130,Paccar,23495.7,2195.1
,,,2018,131,Southern,23495,2226
,,,2018,132,CenturyLink,23443,-1733
,,,2018,133,International Paper,23306,2012
,,,2018,134,Union Pacific,22832,5966
,,,2018,135,Dollar Tree,22823.3,-1590.8
,,,2018,136,Penske Automotive Group,22785.1,471
,,,2018,137,Qualcomm,22732,-4864
,,,2018,138,Bristol-Myers Squibb,22561,4920
,,,2018,139,Gilead Sciences,22127,5455
,,,2018,140,Jabil,22095.4,86.3
,,,2018,141,ManpowerGroup,21991.2,556.7
,,,2018,142,Southwest Airlines,21965,2465
,,,2018,143,Aflac,21758,2920
,,,2018,144,Tesla,21461.3,-976.1
,,,2018,145,AutoNation,21412.8,396
,,,2018,146,CBRE Group,21340.1,1063.2
,,,2018,147,Lear,21148.5,1149.8
,,,2018,148,Whirlpool,21037,-183
,,,2018,149,McDonald's,21025.2,5924.3
,,,2018,150,Broadcom,20848,12259
,,,2018,151,Marriott International,20758,1907
,,,2018,152,Western Digital,20647,675
,,,2018,153,Visa,20609,10301
,,,2018,154,Lennar,20571.6,1695.8
,,,2018,155,WellCare Health Plans,20414.1,439.8
,,,2018,156,Kohl's,20229,801
,,,2018,157,AECOM,20155.5,136.5
,,,2018,158,Synnex,20053.8,300.6
,,,2018,159,PNC Financial Services,19993,5301
,,,2018,160,Danaher,19893,2650.9
,,,2018,161,Hartford Financial Services,19827,1807
,,,2018,162,Altria Group,19627,6963
,,,2018,163,Bank of New York Mellon,19214,4266
,,,2018,164,Fluor,19166.6,224.8
,,,2018,165,Avnet,19036.9,-156.4
,,,2018,166,Icahn Enterprises,18979,1507
,,,2018,167,Occidental Petroleum,18934,4131
,,,2018,168,Molina Healthcare,18890,707
,,,2018,169,Genuine Parts,18735.1,810.5
,,,2018,170,Freeport-McMoRan,18628,2602
,,,2018,171,Kimberly-Clark,18486,1410
,,,2018,172,Tenet Healthcare,18313,111
,,,2018,173,Synchrony Financial,18253,2790
,,,2018,174,CarMax,17976.8,664.1
,,,2018,175,HollyFrontier,17714.7,1098
,,,2018,176,Performance Food Group,17619.9,198.7
,,,2018,177,Sherwin-Williams,17534.5,1108.7
,,,2018,178,Emerson Electric,17408,2203
,,,2018,179,NGL Energy Partners,17282.7,-70.9
,,,2018,180,XPO Logistics,17279,422
,,,2018,181,EOG Resources,17275.4,3419
,,,2018,182,Applied Materials,17253,3313
,,,2018,183,PG&E,16759,-6851
,,,2018,184,NextEra Energy,16727,6638
,,,2018,185,C.H. Robinson Worldwide,16631.2,664.5
,,,2018,186,Gap,16580,1003
,,,2018,187,Lincoln National,16424,1641
,,,2018,188,DaVita,16368.6,159.4
,,,2018,189,Jones Lang LaSalle,16318.4,484.5
,,,2018,190,WestRock,16285.1,1906.1
,,,2018,191,CDW,16240.5,643
,,,2018,192,American Electric Power,16195.7,1923.8
,,,2018,193,Cognizant Technology Solutions,16125,2101
,,,2018,194,D.R. Horton,16068,1460.3
,,,2018,195,Becton Dickinson,15983,311
,,,2018,196,Nordstrom,15860,564
,,,2018,197,Netflix,15794.3,1211.2
,,,2018,198,Aramark,15789.6,567.9
,,,2018,199,Texas Instruments,15784,5580
,,,2018,200,General Mills,15740.4,2131
,,,2018,201,Supervalu,15679,45
,,,2018,202,Colgate-Palmolive,15544,2400
,,,2018,203,Goodyear Tire & Rubber,15475,693
,,,2018,204,PayPal Holdings,15451,2057
,,,2018,205,PPG Industries,15374,1341
,,,2018,206,Omnicom Group,15290.2,1326.4
,,,2018,207,Celgene,15281,4046
,,,2018,208,Jacobs Engineering Group,14984.6,163.4
,,,2018,209,Ross Stores,14983.5,1587.5
,,,2018,210,Marsh & McLennan,14950,1650
,,,2018,210,Mastercard,14950,5859
,,,2018,212,Land O'Lakes,14936.2,254.5
,,,2018,213,Waste Management,14914,1925
,,,2018,214,Illinois Tool Works,14768,2563
,,,2018,215,Ecolab,14668.2,1429.1
,,,2018,216,Booking Holdings,14527,3998
,,,2018,217,CBS,14514,1960
,,,2018,218,Parker-Hannifin,14302.4,1060.8
,,,2018,219,Principal Financial,14237.2,1546.5
,,,2018,220,DTE Energy,14212,1120
,,,2018,221,BlackRock,14198,4305
,,,2018,222,United States Steel,14178,1115
,,,2018,223,Community Health Systems,14155,-788
,,,2018,224,Kinder Morgan,14144,1609
,,,2018,225,Qurate Retail,14070,916
,,,2018,226,Loews,14066,636
,,,2018,227,Arconic,14014,642
,,,2018,228,Stanley Black & Decker,13982.4,605.2
,,,2018,229,Textron,13972,1222
,,,2018,230,Las Vegas Sands,13729,2413
,,,2018,231,Estee Lauder,13683,1108
,,,2018,232,DISH Network,13621.3,1575.1
,,,2018,233,Stryker,13601,3553
,,,2018,234,Kellogg,13547,1336
,,,2018,235,Biogen,13452.9,4430.7
,,,2018,236,Alcoa,13403,227
,,,2018,237,Anadarko Petroleum,13382,615
,,,2018,238,Dominion Energy,13366,2447
,,,2018,239,ADP,13325.8,1620.8
,,,2018,240,salesforce.com,13282,1110
,,,2018,241,L Brands,13236.9,643.9
,,,2018,242,Henry Schein,13202,535.9
,,,2018,243,Newell Brands,13033.1,-6917.9
,,,2018,244,Guardian Life Ins. Co. of America,13014.9,464.9
,,,2018,245,BJ's Wholesale Club,13007.3,127.3
,,,2018,246,BB&T Corp.,12996,3237
,,,2018,247,State Street Corp.,12973,2599
,,,2018,248,Viacom,12943,1719
,,,2018,249,Ameriprise Financial,12924,2098
,,,2018,250,Core-Mark Holding,12903.9,45.5
,,,2018,251,Reinsurance Group of America,12875.7,715.8
,,,2018,252,VF,12862.3,658.6
,,,2018,253,Discover Financial Services,12848,2742
,,,2018,254,Global Partners,12672.6,103.9
,,,2018,255,Edison International,12657,-423
,,,2018,256,Oneok,12593.2,1151.7
,,,2018,257,Murphy USA,12524,213.6
,,,2018,258,Bed Bath & Beyond,12349.3,424.9
,,,2018,259,Consolidated Edison,12337,1382
,,,2018,260,CSX,12250,3309
,,,2018,261,J.C. Penney,12019,-255
,,,2018,262,LKQ,11876.7,480.1
,,,2018,263,FirstEnergy,11864,1348
,,,2018,264,Steel Dynamics,11821.8,1258.4
,,,2018,265,Lithia Motors,11821.4,265.7
,,,2018,266,MGM Resorts International,11763.1,466.8
,,,2018,267,Tenneco,11763,55
,,,2018,268,Nvidia,11716,4141
,,,2018,269,Sempra Energy,11687,1049
,,,2018,270,Farmers Insurance Exchange,11650.4,-70.5
,,,2018,271,Ball,11635,454
,,,2018,272,Group 1 Automotive,11601.4,157.8
,,,2018,273,Unum Group,11598.5,523.4
